Gene Name	Gene type
SCARNA27	snoRNA
SCARNA28	snoRNA
SCARNA26A	snoRNA
SCARNA26B	snoRNA
SCARNA21B	snoRNA
SCARNA18B	snoRNA
LOC124900224	snoRNA
LOC124900313	snoRNA
LOC124900315	snoRNA
LOC124900334	snoRNA
LOC124900369	snoRNA
LOC124900433	snoRNA
LOC124900440	snoRNA
LOC124900441	snoRNA
LOC124900446	snoRNA
LOC124900461	snoRNA
LOC124900527	snoRNA
LOC124900528	snoRNA
LOC124900529	snoRNA
LOC124900541	snoRNA
LOC124900577	snoRNA
LOC124904115	snoRNA
LOC124904809	snoRNA
LOC124905172	snoRNA
LOC124905173	snoRNA
LOC124905174	snoRNA
SCARNA3	snoRNA
SCARNA20	snoRNA
SCARNA21	snoRNA
SCARNA18	snoRNA
SCARNA2	snoRNA
SCARNA7	snoRNA
SCARNA13	snoRNA
SCARNA17	snoRNA
SCARNA22	snoRNA
SCARNA4	snoRNA
SCARNA6	snoRNA
SCARNA23	snoRNA
SCARNA1	snoRNA
SCARNA5	snoRNA
SCARNA8	snoRNA
SCARNA12	snoRNA
SCARNA15	snoRNA
SCARNA11	snoRNA
SCARNA16	snoRNA
SCARNA10	snoRNA
SCARNA14	snoRNA
SNORD116-1	snoRNA
SNORD116-2	snoRNA
SNORD116-3	snoRNA
SNORD116-4	snoRNA
SNORD116-5	snoRNA
SNORD116-6	snoRNA
SNORD116-7	snoRNA
SNORD116-8	snoRNA
SNORD116-9	snoRNA
SNORD116-10	snoRNA
SNORD116-11	snoRNA
SNORD116-12	snoRNA
SNORD116-13	snoRNA
SNORD116-14	snoRNA
SNORD116-15	snoRNA
SNORD116-16	snoRNA
SNORD116-17	snoRNA
SNORD116-18	snoRNA
SNORD116-20	snoRNA
SNORD116-21	snoRNA
SNORD116-22	snoRNA
SNORD116-23	snoRNA
SNORD116-24	snoRNA
SNORD116-25	snoRNA
SNORD115-2	snoRNA
SNORD116-26	snoRNA
SNORD116-27	snoRNA
SNORD115-3	snoRNA
SNORD115-4	snoRNA
SNORD115-5	snoRNA
SNORD115-6	snoRNA
SNORD115-7	snoRNA
SNORD115-8	snoRNA
SNORD115-9	snoRNA
SNORD115-10	snoRNA
SNORD115-11	snoRNA
SNORD115-12	snoRNA
SNORD115-13	snoRNA
SNORD115-14	snoRNA
SNORD115-15	snoRNA
SNORD115-16	snoRNA
SNORD115-17	snoRNA
SNORD115-18	snoRNA
SNORD115-19	snoRNA
SNORD115-20	snoRNA
SNORD115-21	snoRNA
SNORD115-22	snoRNA
SNORD115-23	snoRNA
SNORD115-25	snoRNA
SNORD115-26	snoRNA
SNORD115-29	snoRNA
SNORD115-30	snoRNA
SNORD115-31	snoRNA
SNORD115-32	snoRNA
SNORD115-33	snoRNA
SNORD115-34	snoRNA
SNORD115-35	snoRNA
SNORD115-36	snoRNA
SNORD115-37	snoRNA
SNORD115-38	snoRNA
SNORD115-39	snoRNA
SNORD115-40	snoRNA
SNORD115-41	snoRNA
SNORD115-42	snoRNA
SNORD115-43	snoRNA
SNORD115-44	snoRNA
SNORD116-28	snoRNA
SNORD116-29	snoRNA
SNORD115-48	snoRNA
SNORD115-24	snoRNA
SNORD115-27	snoRNA
SNORD115-28	snoRNA
SNORD115-45	snoRNA
SNORD115-47	snoRNA
SNORD119	snoRNA
SNORD121A	snoRNA
SNORD125	snoRNA
SNORD19B	snoRNA
SNORD105B	snoRNA
SNORD123	snoRNA
SNORD127	snoRNA
SNORD126	snoRNA
SNORD11B	snoRNA
SNORD12B	snoRNA
SNORD111B	snoRNA
SNORD58C	snoRNA
SNORA84	snoRNA
SNORA36C	snoRNA
SNORA38B	snoRNA
SNORA70B	snoRNA
SNORA70C	snoRNA
SNORA11B	snoRNA
SNORA11C	snoRNA
SNORA11D	snoRNA
SNORA80B	snoRNA
SNORA70F	snoRNA
SNORA70G	snoRNA
SNORA70D	snoRNA
SNORA70E	snoRNA
SNORD116-30	snoRNA
SNORD115-46	snoRNA
SNORA11E	snoRNA
SNORD124	snoRNA
SNORD121B	snoRNA
SNORD128	snoRNA
SNORD133	snoRNA
SNORD134	snoRNA
SNORD135	snoRNA
SNORD136	snoRNA
SNORD142	snoRNA
SNORD143	snoRNA
SNORD144	snoRNA
SNORA86	snoRNA
SNORA87	snoRNA
SNORA88	snoRNA
SNORA89	snoRNA
SNORA90	snoRNA
SNORA91	snoRNA
SNORA92	snoRNA
SNORA93	snoRNA
SNORA94	snoRNA
SNORA95	snoRNA
SNORA98	snoRNA
SNORA99	snoRNA
SNORA100	snoRNA
SNORA103	snoRNA
SNORA104	snoRNA
SNORA105A	snoRNA
SNORA105B	snoRNA
SNORA105C	snoRNA
SNORA107	snoRNA
SNORA108	snoRNA
SNORA109	snoRNA
SNORA110	snoRNA
SNORA111	snoRNA
SNORD129	snoRNA
SNORD130	snoRNA
SNORD131	snoRNA
SNORD132	snoRNA
SNORD137	snoRNA
SNORD140	snoRNA
SNORD141A	snoRNA
SNORD141B	snoRNA
SNORA101A	snoRNA
SNORA101B	snoRNA
SNORA50D	snoRNA
SNORA80C	snoRNA
SNORA10B	snoRNA
